period,amp
23238.41661308988,1.488573108093075e-06
23244.417384595603,3.4661812363305144e-07
23250.418156101325,3.359810694625725e-07
23256.418927607046,2.8739548770497484e-06
23262.41969911277,5.174874574452472e-07
23268.42047061849,7.945163181925561e-07
23274.421242124212,1.6625161664035544e-06
23280.422013629934,3.1463539998170325e-07
23286.422785135655,3.1209108578504655e-06
23292.423556641377,3.2806879343470936e-06
23298.4243281471,4.226130935495191e-07
23304.42509965282,4.0727339769585346e-07
23310.425871158543,1.8438211840279614e-06
23316.426642664264,2.9450629717305198e-06
23322.42741416999,1.404781527341643e-06
23328.42818567571,2.1618518169849672e-08
23334.428957181433,5.065027357066664e-06
23340.429728687155,1.260758409442494e-06
23346.430500192877,7.006273516443622e-07
23352.4312716986,2.3538555296555258e-07
23358.43204320432,4.568999642514673e-07
23364.432814710042,8.725753091351393e-07
23370.433586215764,1.2496904369261049e-07
23376.434357721486,2.459443391403557e-07
23382.435129227208,3.668499203988943e-06
23388.43590073293,7.2078040070135285e-06
23394.43667223865,6.468309353734124e-08
23400.437443744373,5.420988037721392e-07
23406.438215250095,7.813704555566864e-06
23412.43898675582,2.2624536858624957e-07
23418.439758261542,4.068369578585882e-06
23424.440529767264,1.2294009662842386e-06
23430.441301272986,1.161085232783332e-06
23436.442072778707,3.2841682849724143e-07
23442.44284428443,1.189742387007357e-06
23448.44361579015,4.010179642818014e-07
23454.444387295873,1.555181026248714e-07
23460.445158801595,1.226224228673949e-06
23466.445930307316,2.94312220473543e-07
23472.446701813038,1.1889100938275874e-06
23478.44747331876,5.139016175619011e-07
23484.44824482448,4.814247130249534e-08
23490.449016330203,4.841212351220711e-07
23496.449787835925,1.91744973178922e-06
23502.450559341647,3.4898715062467284e-06
23508.45133084737,9.842133889234046e-08
23514.45210235309,1.9603698493047723e-06
23520.452873858812,6.027889465391308e-07
23526.453645364538,8.233752199477278e-07
23532.45441687026,3.497013705770722e-07
23538.45518837598,1.6465768316175048e-06
23544.455959881703,1.2370831414289876e-06
23550.456731387425,1.1664442309613535e-06
23556.457502893147,6.550607863321544e-06
23562.45827439887,2.7087866147689443e-06
23568.45904590459,2.5539783456843624e-07
23574.459817410312,2.830304921586561e-06
23580.460588916034,6.060751755440175e-07
23586.461360421756,1.437905791927696e-06
23592.462131927477,6.440027850141542e-07
23598.4629034332,3.0225076622934065e-07
23604.46367493892,4.846214978321989e-07
23610.464446444643,3.259066365293601e-06
23616.46521795037,1.6731841878826575e-07
23622.46598945609,9.477954890256577e-07
23628.46676096181,7.498722851015867e-07
23634.467532467534,9.166585095217978e-09
23640.468303973255,3.995628483226003e-07
23646.469075478977,1.5915838833220845e-06
23652.4698469847,3.960338571998511e-06
23658.47061849042,6.623452025766283e-07
23664.471389996143,4.5543627026069946e-07
23670.472161501864,1.164349056839411e-05
23676.472933007586,2.5549378547560554e-06
23682.473704513308,6.806322280447631e-07
23688.47447601903,3.831415477825554e-06
23694.47524752475,3.5402068652957803e-06
23700.476019030473,1.4156510685099793e-06
23706.476790536195,2.834944509952762e-07
23712.477562041917,9.057044861579079e-07
23718.47833354764,2.2397025920995046e-07
23724.47910505336,3.556858373621483e-06
23730.479876559086,2.651664037137e-07
23736.480648064808,3.696404187263829e-07
23742.48141957053,1.3062491905039156e-06
23748.48219107625,1.1077311240683758e-07
23754.482962581973,3.493784101720751e-08
23760.483734087695,1.6948290576042434e-07
23766.484505593417,3.863364058049076e-07
